sku_id,discount_percentage,units_sold_before_markdown,units_sold_post_markdown,sell_through_lift
SKU_031,0.2,277,518,1.87
SKU_031,0.3,277,612,2.21
SKU_031,0.4,277,720,2.6
SKU_031,0.5,277,789,2.85
SKU_032,0.1,447,599,1.34
SKU_032,0.2,447,814,1.82
SKU_032,0.3,447,1001,2.24
SKU_032,0.4,447,1144,2.56
SKU_032,0.5,447,1310,2.93
SKU_033,0.1,151,231,1.53
SKU_033,0.2,151,287,1.9
SKU_033,0.3,151,329,2.18
SKU_033,0.4,151,399,2.64
SKU_033,0.5,151,430,2.85
SKU_034,0.1,382,523,1.37
SKU_034,0.2,382,703,1.84
SKU_034,0.3,382,863,2.26
SKU_034,0.4,382,1008,2.64
SKU_034,0.5,382,1142,2.99
SKU_035,0.1,265,344,1.3
SKU_035,0.2,265,450,1.7
SKU_035,0.3,265,599,2.26
SKU_035,0.4,265,681,2.57
SKU_035,0.5,265,742,2.8
SKU_036,0.1,248,377,1.52
SKU_036,0.2,248,429,1.73
SKU_036,0.3,248,526,2.12
SKU_036,0.4,248,630,2.54
SKU_036,0.5,248,722,2.91
SKU_037,0.1,318,420,1.32
SKU_037,0.2,318,528,1.66
SKU_037,0.3,318,687,2.16
SKU_037,0.4,318,782,2.46
SKU_037,0.5,318,919,2.89
SKU_038,0.1,284,415,1.46
SKU_038,0.2,284,494,1.74
SKU_038,0.3,284,619,2.18
SKU_038,0.4,284,724,2.55
SKU_038,0.5,284,841,2.96
SKU_039,0.1,171,229,1.34
SKU_039,0.2,171,325,1.9
SKU_039,0.3,171,366,2.14
SKU_039,0.4,171,451,2.64
SKU_039,0.5,171,506,2.96
SKU_040,0.1,375,514,1.37
SKU_040,0.2,375,682,1.82
SKU_040,0.3,375,829,2.21
SKU_040,0.4,375,990,2.64
SKU_040,0.5,375,1072,2.86
SKU_041,0.1,296,420,1.42
SKU_041,0.2,296,548,1.85
SKU_041,0.3,296,607,2.05
SKU_041,0.4,296,790,2.67
SKU_041,0.5,296,864,2.92
SKU_042,0.1,195,294,1.51
SKU_042,0.2,195,341,1.75
SKU_042,0.3,195,398,2.04
SKU_042,0.4,195,517,2.65
SKU_042,0.5,195,567,2.91
SKU_043,0.1,330,469,1.42
SKU_043,0.2,330,630,1.91
SKU_043,0.3,330,680,2.06
SKU_043,0.4,330,825,2.5
SKU_043,0.5,330,940,2.85
SKU_044,0.1,310,422,1.36
SKU_044,0.2,310,527,1.7
SKU_044,0.3,310,676,2.18
SKU_044,0.4,310,822,2.65
SKU_044,0.5,310,921,2.97
SKU_045,0.1,323,420,1.3
SKU_045,0.2,323,585,1.81
SKU_045,0.3,323,740,2.29
SKU_045,0.4,323,795,2.46
SKU_045,0.5,323,946,2.93
SKU_046,0.1,422,629,1.49
SKU_046,0.2,422,713,1.69
SKU_046,0.3,422,937,2.22
SKU_046,0.4,422,1080,2.56
SKU_046,0.5,422,1211,2.87
SKU_047,0.1,175,259,1.48
SKU_047,0.2,175,329,1.88
SKU_047,0.3,175,397,2.27
SKU_047,0.4,175,446,2.55
SKU_047,0.5,175,513,2.93
SKU_048,0.1,322,428,1.33
SKU_048,0.2,322,541,1.68
SKU_048,0.3,322,689,2.14
SKU_048,0.4,322,782,2.43
SKU_048,0.5,322,972,3.02
SKU_049,0.1,292,400,1.37
SKU_049,0.2,292,491,1.68
SKU_049,0.3,292,637,2.18
SKU_049,0.4,292,710,2.43
SKU_049,0.5,292,853,2.92
SKU_050,0.1,212,324,1.53
SKU_050,0.2,212,396,1.87
SKU_050,0.3,212,479,2.26
SKU_050,0.4,212,526,2.48
SKU_050,0.5,212,596,2.81
