sku_id,selling_week,units_available,units_sold,sell_through_rate,average_weekly_sales
SKU_012,W-04,2788,1288,0.462,1288.0
SKU_012,W-03,1590,637,0.401,637.0
SKU_012,W-02,2699,1395,0.517,1395.0
SKU_012,W-01,1950,1227,0.629,1227.0
SKU_013,W-12,1283,786,0.613,786.0
SKU_013,W-11,2030,1521,0.749,1521.0
SKU_013,W-10,2227,1335,0.599,1335.0
SKU_013,W-09,1837,1342,0.731,1342.0
SKU_013,W-08,1665,1021,0.613,1021.0
SKU_013,W-07,1340,803,0.599,803.0
SKU_013,W-06,1966,1257,0.639,1257.0
SKU_013,W-05,2949,1561,0.529,1561.0
SKU_013,W-04,2521,1538,0.61,1538.0
SKU_013,W-03,2617,1645,0.629,1645.0
SKU_013,W-02,2130,1233,0.579,1233.0
SKU_013,W-01,1395,973,0.697,973.0
SKU_014,W-12,1063,502,0.472,502.0
SKU_014,W-11,1944,1090,0.561,1090.0
SKU_014,W-10,2400,1466,0.611,1466.0
SKU_014,W-09,1495,1014,0.678,1014.0
SKU_014,W-08,2992,1679,0.561,1679.0
SKU_014,W-07,2313,1015,0.439,1015.0
SKU_014,W-06,2237,1550,0.693,1550.0
SKU_014,W-05,2786,2011,0.722,2011.0
SKU_014,W-04,1326,644,0.486,644.0
SKU_014,W-03,2478,1825,0.736,1825.0
SKU_014,W-02,1014,671,0.662,671.0
SKU_014,W-01,2396,1526,0.637,1526.0
SKU_015,W-12,2590,1586,0.612,1586.0
SKU_015,W-11,2093,1360,0.65,1360.0
SKU_015,W-10,1898,1078,0.568,1078.0
SKU_015,W-09,2486,1046,0.421,1046.0
SKU_015,W-08,2662,1435,0.539,1435.0
SKU_015,W-07,2684,1754,0.654,1754.0
SKU_015,W-06,1081,569,0.526,569.0
SKU_015,W-05,2467,1787,0.724,1787.0
SKU_015,W-04,2288,1435,0.627,1435.0
SKU_015,W-03,1877,1268,0.676,1268.0
SKU_015,W-02,1212,546,0.45,546.0
SKU_015,W-01,1537,1022,0.665,1022.0
SKU_016,W-12,1497,1015,0.678,1015.0
SKU_016,W-11,1430,704,0.492,704.0
SKU_016,W-10,1675,1046,0.624,1046.0
SKU_016,W-09,1151,645,0.56,645.0
SKU_016,W-08,2452,1402,0.572,1402.0
SKU_016,W-07,1501,998,0.665,998.0
SKU_016,W-06,1701,856,0.503,856.0
SKU_016,W-05,1910,985,0.516,985.0
SKU_016,W-04,1922,1239,0.645,1239.0
SKU_016,W-03,2163,1073,0.496,1073.0
SKU_016,W-02,1073,715,0.666,715.0
SKU_016,W-01,1303,759,0.583,759.0
SKU_017,W-12,1624,919,0.566,919.0
SKU_017,W-11,1900,1207,0.635,1207.0
SKU_017,W-10,1316,868,0.66,868.0
SKU_017,W-09,2423,1078,0.445,1078.0
SKU_017,W-08,2244,1127,0.502,1127.0
SKU_017,W-07,1786,875,0.49,875.0
SKU_017,W-06,1466,600,0.409,600.0
SKU_017,W-05,1433,865,0.604,865.0
SKU_017,W-04,1303,787,0.604,787.0
SKU_017,W-03,1531,807,0.527,807.0
SKU_017,W-02,2041,1348,0.66,1348.0
SKU_017,W-01,2058,1115,0.542,1115.0
SKU_018,W-12,2896,1650,0.57,1650.0
SKU_018,W-11,1346,948,0.704,948.0
SKU_018,W-10,1987,916,0.461,916.0
SKU_018,W-09,2837,1511,0.533,1511.0
SKU_018,W-08,2369,1732,0.731,1732.0
SKU_018,W-07,1701,814,0.479,814.0
SKU_018,W-06,1422,680,0.478,680.0
SKU_018,W-05,1569,961,0.612,961.0
SKU_018,W-04,2492,1685,0.676,1685.0
SKU_018,W-03,2331,1093,0.469,1093.0
SKU_018,W-02,2021,1133,0.561,1133.0
SKU_018,W-01,2869,1788,0.623,1788.0
SKU_019,W-12,1202,881,0.733,881.0
SKU_019,W-11,2039,863,0.423,863.0
SKU_019,W-10,2133,1571,0.737,1571.0
SKU_019,W-09,2733,1802,0.659,1802.0
SKU_019,W-08,2787,1192,0.428,1192.0
SKU_019,W-07,2634,1105,0.42,1105.0
SKU_019,W-06,2160,1259,0.583,1259.0
SKU_019,W-05,1501,734,0.489,734.0
SKU_019,W-04,2514,1166,0.464,1166.0
SKU_019,W-03,2917,1831,0.628,1831.0
SKU_019,W-02,1501,720,0.48,720.0
SKU_019,W-01,2469,1381,0.559,1381.0
SKU_020,W-12,1271,740,0.582,740.0
SKU_020,W-11,1124,531,0.472,531.0
SKU_020,W-10,1499,906,0.604,906.0
SKU_020,W-09,2190,1241,0.567,1241.0
SKU_020,W-08,1201,706,0.588,706.0
SKU_020,W-07,2600,1086,0.418,1086.0
SKU_020,W-06,2617,1627,0.622,1627.0
SKU_020,W-05,1402,795,0.567,795.0
SKU_020,W-04,1905,817,0.429,817.0
SKU_020,W-03,1404,610,0.434,610.0
SKU_020,W-02,2207,1048,0.475,1048.0
SKU_020,W-01,1997,1008,0.505,1008.0
SKU_021,W-12,2300,2055,0.893,2055.0
SKU_021,W-11,1934,1816,0.939,1816.0
SKU_021,W-10,1515,1379,0.91,1379.0
SKU_021,W-09,2231,1901,0.852,1901.0
SKU_021,W-08,2292,1927,0.841,1927.0
SKU_021,W-07,2038,1789,0.878,1789.0
SKU_021,W-06,1581,1476,0.934,1476.0
SKU_021,W-05,1613,1373,0.851,1373.0
SKU_021,W-04,2089,1775,0.85,1775.0
SKU_021,W-03,1563,1408,0.901,1408.0
SKU_021,W-02,2030,1739,0.857,1739.0
SKU_021,W-01,1901,1584,0.833,1584.0
SKU_022,W-12,2557,1409,0.551,1409.0
SKU_022,W-11,1623,702,0.433,702.0
SKU_022,W-10,2765,1534,0.555,1534.0
SKU_022,W-09,2306,1476,0.64,1476.0
SKU_022,W-08,2684,1245,0.464,1245.0
SKU_022,W-07,2594,1136,0.438,1136.0
SKU_022,W-06,1474,699,0.474,699.0
SKU_022,W-05,2027,1027,0.507,1027.0
SKU_022,W-04,2569,1504,0.585,1504.0
SKU_022,W-03,1210,773,0.639,773.0
SKU_022,W-02,2899,1778,0.613,1778.0
SKU_022,W-01,2169,1377,0.635,1377.0
SKU_023,W-12,2057,1529,0.743,1529.0
SKU_023,W-11,2338,1422,0.608,1422.0
SKU_023,W-10,1853,1246,0.672,1246.0
SKU_023,W-09,1551,744,0.48,744.0
SKU_023,W-08,1538,869,0.565,869.0
SKU_023,W-07,2753,1905,0.692,1905.0
SKU_023,W-06,1759,792,0.45,792.0
SKU_023,W-05,1683,1101,0.654,1101.0
SKU_023,W-04,2698,1782,0.66,1782.0
SKU_023,W-03,1921,975,0.508,975.0
SKU_023,W-02,2153,1157,0.537,1157.0
SKU_023,W-01,1854,745,0.402,745.0
SKU_024,W-12,2442,1149,0.471,1149.0
SKU_024,W-11,2355,1532,0.651,1532.0
SKU_024,W-10,1603,1108,0.691,1108.0
SKU_024,W-09,1048,537,0.512,537.0
SKU_024,W-08,2619,1398,0.534,1398.0
SKU_024,W-07,2142,1276,0.596,1276.0
SKU_024,W-06,1408,956,0.679,956.0
SKU_024,W-05,2264,1304,0.576,1304.0
SKU_024,W-04,2753,1365,0.496,1365.0
SKU_024,W-03,1152,558,0.484,558.0
SKU_024,W-02,1666,1087,0.652,1087.0
SKU_024,W-01,2928,1910,0.652,1910.0
SKU_025,W-12,2242,1356,0.605,1356.0
SKU_025,W-11,1121,488,0.435,488.0
SKU_025,W-10,2309,1200,0.52,1200.0
SKU_025,W-09,2101,1112,0.529,1112.0
SKU_025,W-08,2891,1444,0.499,1444.0
SKU_025,W-07,1966,878,0.447,878.0
SKU_025,W-06,2535,1079,0.426,1079.0
SKU_025,W-05,2587,1697,0.656,1697.0
SKU_025,W-04,2688,1217,0.453,1217.0
SKU_025,W-03,1308,793,0.606,793.0
SKU_025,W-02,2175,1022,0.47,1022.0
SKU_025,W-01,1180,653,0.553,653.0
SKU_026,W-12,1139,802,0.704,802.0
SKU_026,W-11,2432,1578,0.649,1578.0
SKU_026,W-10,1642,1206,0.734,1206.0
SKU_026,W-09,1739,1246,0.717,1246.0
SKU_026,W-08,1913,1265,0.661,1265.0
SKU_026,W-07,1439,668,0.464,668.0
SKU_026,W-06,1959,939,0.479,939.0
SKU_026,W-05,1741,899,0.516,899.0
SKU_026,W-04,2387,1766,0.74,1766.0
SKU_026,W-03,1530,748,0.489,748.0
SKU_026,W-02,2531,1838,0.726,1838.0
SKU_026,W-01,1287,568,0.441,568.0
SKU_027,W-12,2158,1193,0.553,1193.0
SKU_027,W-11,1065,783,0.735,783.0
SKU_027,W-10,2788,1894,0.679,1894.0
SKU_027,W-09,2618,1540,0.588,1540.0
SKU_027,W-08,1578,948,0.601,948.0
SKU_027,W-07,2299,973,0.423,973.0
SKU_027,W-06,1154,689,0.597,689.0
SKU_027,W-05,2995,1783,0.595,1783.0
SKU_027,W-04,1230,720,0.585,720.0
SKU_027,W-03,2635,1527,0.58,1527.0
SKU_027,W-02,2743,1181,0.431,1181.0
SKU_027,W-01,2889,1629,0.564,1629.0
SKU_028,W-12,1149,532,0.463,532.0
SKU_028,W-11,2178,1130,0.519,1130.0
SKU_028,W-10,2080,1400,0.673,1400.0
SKU_028,W-09,2514,1727,0.687,1727.0
SKU_028,W-08,1885,1340,0.711,1340.0
SKU_028,W-07,1822,1095,0.601,1095.0
SKU_028,W-06,1013,626,0.618,626.0
SKU_028,W-05,1798,731,0.407,731.0
SKU_028,W-04,1461,749,0.513,749.0
SKU_028,W-03,1308,641,0.49,641.0
SKU_028,W-02,1456,880,0.604,880.0
SKU_028,W-01,2572,1322,0.514,1322.0
SKU_029,W-12,2583,1167,0.452,1167.0
SKU_029,W-11,1631,756,0.464,756.0
SKU_029,W-10,1053,617,0.586,617.0
SKU_029,W-09,2934,2041,0.696,2041.0
SKU_029,W-08,2596,1154,0.445,1154.0
SKU_029,W-07,1713,1257,0.734,1257.0
SKU_029,W-06,1670,1176,0.704,1176.0
SKU_029,W-05,2901,1394,0.481,1394.0
SKU_029,W-04,1427,671,0.47,671.0
SKU_029,W-03,1334,731,0.548,731.0
SKU_029,W-02,1555,748,0.481,748.0
SKU_029,W-01,2883,1372,0.476,1372.0
SKU_030,W-12,1915,1059,0.553,1059.0
SKU_030,W-11,1406,663,0.472,663.0
SKU_030,W-10,1779,1079,0.607,1079.0
SKU_030,W-09,1255,542,0.432,542.0
SKU_030,W-08,1358,784,0.577,784.0
SKU_030,W-07,2184,1427,0.653,1427.0
SKU_030,W-06,1249,570,0.456,570.0
SKU_030,W-05,1429,631,0.442,631.0
SKU_030,W-04,2001,1319,0.659,1319.0
SKU_030,W-03,1733,1147,0.662,1147.0
SKU_030,W-02,1648,898,0.545,898.0
SKU_030,W-01,1430,1065,0.745,1065.0
SKU_031,W-12,1819,1339,0.736,1339.0
SKU_031,W-11,1204,631,0.524,631.0
SKU_031,W-10,2936,1492,0.508,1492.0
SKU_031,W-09,1133,625,0.552,625.0
SKU_031,W-08,2736,1718,0.628,1718.0
SKU_031,W-07,1469,1101,0.749,1101.0
SKU_031,W-06,1172,735,0.627,735.0
SKU_031,W-05,2659,1426,0.536,1426.0
SKU_031,W-04,1965,796,0.405,796.0
SKU_031,W-03,2974,1475,0.496,1475.0
SKU_031,W-02,2325,1660,0.714,1660.0
SKU_031,W-01,1092,490,0.449,490.0
SKU_032,W-12,1125,684,0.608,684.0
SKU_032,W-11,1429,1004,0.703,1004.0
SKU_032,W-10,2353,1182,0.502,1182.0
SKU_032,W-09,2264,1234,0.545,1234.0
SKU_032,W-08,1322,722,0.546,722.0
SKU_032,W-07,1357,987,0.727,987.0
SKU_032,W-06,2976,1348,0.453,1348.0
SKU_032,W-05,2657,1816,0.683,1816.0
SKU_032,W-04,1371,723,0.527,723.0
SKU_032,W-03,2894,1268,0.438,1268.0
SKU_032,W-02,1332,546,0.41,546.0
SKU_032,W-01,1417,718,0.507,718.0
SKU_033,W-12,1963,808,0.412,808.0
SKU_033,W-11,2785,1254,0.45,1254.0
SKU_033,W-10,1834,763,0.416,763.0
SKU_033,W-09,1772,1181,0.666,1181.0
SKU_033,W-08,2479,1447,0.584,1447.0
SKU_033,W-07,1323,575,0.435,575.0
SKU_033,W-06,1714,1223,0.714,1223.0
SKU_033,W-05,1188,649,0.546,649.0
SKU_033,W-04,1135,498,0.439,498.0
SKU_033,W-03,1974,1110,0.562,1110.0
SKU_033,W-02,1850,1294,0.699,1294.0
SKU_033,W-01,2099,1163,0.554,1163.0
SKU_034,W-12,2256,1430,0.634,1430.0
SKU_034,W-11,1197,678,0.566,678.0
SKU_034,W-10,2533,1750,0.691,1750.0
SKU_034,W-09,2169,1016,0.468,1016.0
SKU_034,W-08,1449,840,0.58,840.0
SKU_034,W-07,2649,1933,0.73,1933.0
SKU_034,W-06,1461,921,0.63,921.0
SKU_034,W-05,2522,1092,0.433,1092.0
SKU_034,W-04,1827,911,0.499,911.0
SKU_034,W-03,2259,986,0.436,986.0
SKU_034,W-02,1463,713,0.487,713.0
SKU_034,W-01,2495,1573,0.63,1573.0
SKU_035,W-12,1269,653,0.515,653.0
SKU_035,W-11,1767,1115,0.631,1115.0
SKU_035,W-10,2186,1437,0.657,1437.0
SKU_035,W-09,2742,1129,0.412,1129.0
SKU_035,W-08,2855,1941,0.68,1941.0
SKU_035,W-07,2294,956,0.417,956.0
SKU_035,W-06,1405,1043,0.742,1043.0
SKU_035,W-05,1029,463,0.45,463.0
SKU_035,W-04,1069,740,0.692,740.0
SKU_035,W-03,1487,679,0.457,679.0
SKU_035,W-02,1660,670,0.404,670.0
SKU_035,W-01,1984,1129,0.569,1129.0
SKU_036,W-12,1241,819,0.66,819.0
SKU_036,W-11,2342,1566,0.669,1566.0
SKU_036,W-10,2892,1498,0.518,1498.0
SKU_036,W-09,2827,1315,0.465,1315.0
SKU_036,W-08,1698,1158,0.682,1158.0
SKU_036,W-07,1998,1339,0.67,1339.0
SKU_036,W-06,1934,1222,0.632,1222.0
SKU_036,W-05,2368,1656,0.699,1656.0
SKU_036,W-04,2563,1490,0.581,1490.0
SKU_036,W-03,1129,760,0.673,760.0
SKU_036,W-02,1873,1170,0.625,1170.0
SKU_036,W-01,2975,1755,0.59,1755.0
SKU_037,W-12,1711,257,0.15,257.0
SKU_037,W-11,1893,331,0.175,331.0
SKU_037,W-10,2924,375,0.128,375.0
SKU_037,W-09,2775,602,0.217,602.0
SKU_037,W-08,1373,219,0.16,219.0
SKU_037,W-07,2927,610,0.208,610.0
SKU_037,W-06,2046,285,0.139,285.0
SKU_037,W-05,2720,511,0.188,511.0
SKU_037,W-04,2589,315,0.122,315.0
SKU_037,W-03,2502,486,0.194,486.0
SKU_037,W-02,2076,373,0.18,373.0
SKU_037,W-01,1310,230,0.176,230.0
SKU_038,W-12,1325,576,0.435,576.0
SKU_038,W-11,1339,833,0.622,833.0
SKU_038,W-10,2759,1700,0.616,1700.0
SKU_038,W-09,2726,1978,0.726,1978.0
SKU_038,W-08,2466,1117,0.453,1117.0
SKU_038,W-07,2929,2150,0.734,2150.0
SKU_038,W-06,1868,1308,0.7,1308.0
SKU_038,W-05,1570,654,0.417,654.0
SKU_038,W-04,2984,2184,0.732,2184.0
SKU_038,W-03,1607,862,0.536,862.0
SKU_038,W-02,2068,1530,0.74,1530.0
SKU_038,W-01,2830,1604,0.567,1604.0
SKU_039,W-12,2502,1537,0.614,1537.0
SKU_039,W-11,2964,1254,0.423,1254.0
SKU_039,W-10,2546,1384,0.544,1384.0
SKU_039,W-09,1294,735,0.568,735.0
SKU_039,W-08,1328,886,0.667,886.0
SKU_039,W-07,2652,1967,0.742,1967.0
SKU_039,W-06,1496,803,0.537,803.0
SKU_039,W-05,1326,830,0.626,830.0
SKU_039,W-04,1800,1092,0.607,1092.0
SKU_039,W-03,1509,1044,0.692,1044.0
SKU_039,W-02,1144,548,0.479,548.0
SKU_039,W-01,2943,1461,0.496,1461.0
SKU_040,W-12,2557,1315,0.514,1315.0
SKU_040,W-11,2304,1016,0.441,1016.0
SKU_040,W-10,1637,955,0.583,955.0
SKU_040,W-09,2580,1599,0.62,1599.0
SKU_040,W-08,1964,945,0.481,945.0
SKU_040,W-07,1897,957,0.504,957.0
SKU_040,W-06,1255,739,0.589,739.0
SKU_040,W-05,2249,1257,0.559,1257.0
SKU_040,W-04,1144,810,0.708,810.0
SKU_040,W-03,2544,1828,0.719,1828.0
SKU_040,W-02,1699,1200,0.706,1200.0
SKU_040,W-01,2944,2195,0.746,2195.0
SKU_041,W-12,2416,1698,0.703,1698.0
SKU_041,W-11,1997,1328,0.665,1328.0
SKU_041,W-10,1460,851,0.583,851.0
SKU_041,W-09,1181,884,0.749,884.0
SKU_041,W-08,2235,1644,0.736,1644.0
SKU_041,W-07,2771,1460,0.527,1460.0
SKU_041,W-06,2780,1939,0.697,1939.0
SKU_041,W-05,2012,1394,0.693,1394.0
SKU_041,W-04,2972,1638,0.551,1638.0
SKU_041,W-03,1116,695,0.623,695.0
SKU_041,W-02,2771,1855,0.669,1855.0
SKU_041,W-01,2725,1780,0.653,1780.0
SKU_042,W-12,2460,1677,0.682,1677.0
SKU_042,W-11,1497,905,0.605,905.0
SKU_042,W-10,1453,881,0.606,881.0
SKU_042,W-09,2363,1164,0.493,1164.0
SKU_042,W-08,2599,1791,0.689,1791.0
SKU_042,W-07,1999,1191,0.596,1191.0
SKU_042,W-06,2715,1623,0.598,1623.0
SKU_042,W-05,2242,1304,0.582,1304.0
SKU_042,W-04,2894,1833,0.633,1833.0
SKU_042,W-03,1086,663,0.61,663.0
SKU_042,W-02,2209,1531,0.693,1531.0
SKU_042,W-01,2316,1699,0.734,1699.0
SKU_043,W-12,2614,1448,0.554,1448.0
SKU_043,W-11,1943,1167,0.601,1167.0
SKU_043,W-10,2070,855,0.413,855.0
SKU_043,W-09,1816,1243,0.684,1243.0
SKU_043,W-08,2286,1509,0.66,1509.0
SKU_043,W-07,1884,1194,0.634,1194.0
SKU_043,W-06,1052,500,0.475,500.0
SKU_043,W-05,1370,559,0.408,559.0
SKU_043,W-04,2937,1512,0.515,1512.0
SKU_043,W-03,1598,1154,0.722,1154.0
SKU_043,W-02,2642,1083,0.41,1083.0
SKU_043,W-01,1935,1349,0.697,1349.0
SKU_044,W-12,2431,1815,0.747,1815.0
SKU_044,W-11,1538,1028,0.668,1028.0
SKU_044,W-10,1328,628,0.473,628.0
SKU_044,W-09,2578,1810,0.702,1810.0
SKU_044,W-08,2327,1192,0.512,1192.0
SKU_044,W-07,1821,1208,0.663,1208.0
SKU_044,W-06,2599,1781,0.685,1781.0
SKU_044,W-05,2729,1569,0.575,1569.0
SKU_044,W-04,1182,610,0.516,610.0
SKU_044,W-03,2262,1330,0.588,1330.0
SKU_044,W-02,2648,1834,0.693,1834.0
SKU_044,W-01,1466,748,0.51,748.0
SKU_045,W-12,1414,696,0.492,696.0
SKU_045,W-11,2448,1395,0.57,1395.0
SKU_045,W-10,1690,1152,0.682,1152.0
SKU_045,W-09,2834,1492,0.526,1492.0
SKU_045,W-08,1326,975,0.735,975.0
SKU_045,W-07,1661,673,0.405,673.0
SKU_045,W-06,1388,837,0.603,837.0
SKU_045,W-05,2861,1651,0.577,1651.0
SKU_045,W-04,2315,1380,0.596,1380.0
SKU_045,W-03,2549,1519,0.596,1519.0
SKU_045,W-02,1364,735,0.539,735.0
SKU_045,W-01,2424,1034,0.427,1034.0
SKU_046,W-12,1272,918,0.722,918.0
SKU_046,W-11,1212,843,0.696,843.0
SKU_046,W-10,2507,1717,0.685,1717.0
SKU_046,W-09,2817,1914,0.679,1914.0
SKU_046,W-08,2256,1352,0.599,1352.0
SKU_046,W-07,1168,599,0.513,599.0
SKU_046,W-06,1460,810,0.555,810.0
SKU_046,W-05,1083,526,0.486,526.0
SKU_046,W-04,1317,834,0.633,834.0
SKU_046,W-03,1560,638,0.409,638.0
SKU_046,W-02,1459,1009,0.692,1009.0
SKU_046,W-01,1448,703,0.485,703.0
SKU_047,W-12,1989,1378,0.693,1378.0
SKU_047,W-11,1848,1099,0.595,1099.0
SKU_047,W-10,2163,1010,0.467,1010.0
SKU_047,W-09,1381,962,0.697,962.0
SKU_047,W-08,2189,1181,0.54,1181.0
SKU_047,W-07,2178,1548,0.711,1548.0
SKU_047,W-06,1792,1185,0.661,1185.0
SKU_047,W-05,2447,1661,0.679,1661.0
SKU_047,W-04,1745,1188,0.681,1188.0
SKU_047,W-03,1539,847,0.55,847.0
SKU_047,W-02,1746,1248,0.715,1248.0
SKU_047,W-01,2918,1406,0.482,1406.0
SKU_048,W-12,2878,1941,0.674,1941.0
SKU_048,W-11,2039,1321,0.648,1321.0
SKU_048,W-10,2096,1068,0.51,1068.0
SKU_048,W-09,2653,1828,0.689,1828.0
SKU_048,W-08,1466,955,0.651,955.0
SKU_048,W-07,2469,1594,0.646,1594.0
SKU_048,W-06,2999,1781,0.594,1781.0
SKU_048,W-05,1458,820,0.562,820.0
SKU_048,W-04,2176,1507,0.693,1507.0
SKU_048,W-03,1942,1197,0.616,1197.0
SKU_048,W-02,2018,1224,0.607,1224.0
