supplier_id,fabric_id,price_per_meter,currency,price_valid_from,price_valid_to
S001,FAB_011,20.47,USD,2026-01-01,2026-12-31
S002,FAB_011,20.57,USD,2026-01-01,2026-12-31
S004,FAB_011,19.09,USD,2026-01-01,2026-12-31
S007,FAB_011,20.57,USD,2026-01-01,2026-12-31
S008,FAB_011,19.97,USD,2026-01-01,2026-12-31
S001,FAB_012,24.05,USD,2026-01-01,2026-12-31
S002,FAB_012,22.77,USD,2026-01-01,2026-12-31
S004,FAB_012,21.57,USD,2026-01-01,2026-12-31
S006,FAB_012,23.47,USD,2026-01-01,2026-12-31
S005,FAB_012,25.78,USD,2026-01-01,2026-12-31
S001,FAB_013,14.22,USD,2026-01-01,2026-12-31
S002,FAB_013,14.88,USD,2026-01-01,2026-12-31
S004,FAB_013,13.38,USD,2026-01-01,2026-12-31
S007,FAB_013,14.16,USD,2026-01-01,2026-12-31
S008,FAB_013,14.03,USD,2026-01-01,2026-12-31
S001,FAB_014,18.12,USD,2026-01-01,2026-12-31
S002,FAB_014,18.55,USD,2026-01-01,2026-12-31
S004,FAB_014,17.37,USD,2026-01-01,2026-12-31
S003,FAB_014,18.67,USD,2026-01-01,2026-12-31
S007,FAB_014,18.36,USD,2026-01-01,2026-12-31
S001,FAB_015,13.71,USD,2026-01-01,2026-12-31
S002,FAB_015,13.77,USD,2026-01-01,2026-12-31
S004,FAB_015,12.56,USD,2026-01-01,2026-12-31
S007,FAB_015,13.71,USD,2026-01-01,2026-12-31
S008,FAB_015,13.64,USD,2026-01-01,2026-12-31
S001,FAB_016,8.37,USD,2026-01-01,2026-12-31
S002,FAB_016,8.25,USD,2026-01-01,2026-12-31
S004,FAB_016,7.92,USD,2026-01-01,2026-12-31
S005,FAB_016,8.86,USD,2026-01-01,2026-12-31
S006,FAB_016,8.33,USD,2026-01-01,2026-12-31
S001,FAB_017,19.32,USD,2026-01-01,2026-12-31
S002,FAB_017,19.49,USD,2026-01-01,2026-12-31
S004,FAB_017,18.52,USD,2026-01-01,2026-12-31
S005,FAB_017,20.83,USD,2026-01-01,2026-12-31
S003,FAB_017,19.92,USD,2026-01-01,2026-12-31
S001,FAB_018,15.33,USD,2026-01-01,2026-12-31
S002,FAB_018,15.14,USD,2026-01-01,2026-12-31
S004,FAB_018,13.89,USD,2026-01-01,2026-12-31
S007,FAB_018,14.86,USD,2026-01-01,2026-12-31
S003,FAB_018,14.81,USD,2026-01-01,2026-12-31
S001,FAB_019,21.61,USD,2026-01-01,2026-12-31
S002,FAB_019,21.69,USD,2026-01-01,2026-12-31
S004,FAB_019,19.62,USD,2026-01-01,2026-12-31
S007,FAB_019,21.96,USD,2026-01-01,2026-12-31
S006,FAB_019,20.74,USD,2026-01-01,2026-12-31
S001,FAB_020,12.75,USD,2026-01-01,2026-12-31
S002,FAB_020,12.93,USD,2026-01-01,2026-12-31
S004,FAB_020,12.22,USD,2026-01-01,2026-12-31
S005,FAB_020,14.31,USD,2026-01-01,2026-12-31
S007,FAB_020,12.83,USD,2026-01-01,2026-12-31
S001,FAB_021,17.01,USD,2026-01-01,2026-12-31
S002,FAB_021,17.64,USD,2026-01-01,2026-12-31
S004,FAB_021,16.13,USD,2026-01-01,2026-12-31
S006,FAB_021,17.38,USD,2026-01-01,2026-12-31
S003,FAB_021,17.35,USD,2026-01-01,2026-12-31
S001,FAB_022,23.1,USD,2026-01-01,2026-12-31
S002,FAB_022,22.31,USD,2026-01-01,2026-12-31
S004,FAB_022,21.36,USD,2026-01-01,2026-12-31
S005,FAB_022,24.67,USD,2026-01-01,2026-12-31
S003,FAB_022,23.33,USD,2026-01-01,2026-12-31
S001,FAB_023,10.16,USD,2026-01-01,2026-12-31
S002,FAB_023,10.29,USD,2026-01-01,2026-12-31
S004,FAB_023,9.29,USD,2026-01-01,2026-12-31
S008,FAB_023,10.02,USD,2026-01-01,2026-12-31
S003,FAB_023,9.9,USD,2026-01-01,2026-12-31
S001,FAB_024,13.64,USD,2026-01-01,2026-12-31
S002,FAB_024,14.37,USD,2026-01-01,2026-12-31
S004,FAB_024,12.96,USD,2026-01-01,2026-12-31
S003,FAB_024,13.88,USD,2026-01-01,2026-12-31
S005,FAB_024,15.3,USD,2026-01-01,2026-12-31
S001,FAB_025,6.66,USD,2026-01-01,2026-12-31
S002,FAB_025,7.05,USD,2026-01-01,2026-12-31
S004,FAB_025,6.47,USD,2026-01-01,2026-12-31
S008,FAB_025,6.96,USD,2026-01-01,2026-12-31
S006,FAB_025,6.99,USD,2026-01-01,2026-12-31
S001,FAB_026,23.07,USD,2026-01-01,2026-12-31
S002,FAB_026,22.83,USD,2026-01-01,2026-12-31
S004,FAB_026,21.57,USD,2026-01-01,2026-12-31
S005,FAB_026,25.23,USD,2026-01-01,2026-12-31
S006,FAB_026,22.53,USD,2026-01-01,2026-12-31
S001,FAB_027,10.88,USD,2026-01-01,2026-12-31
S002,FAB_027,10.7,USD,2026-01-01,2026-12-31
S004,FAB_027,9.97,USD,2026-01-01,2026-12-31
S005,FAB_027,11.68,USD,2026-01-01,2026-12-31
S007,FAB_027,11.05,USD,2026-01-01,2026-12-31
S001,FAB_028,16.97,USD,2026-01-01,2026-12-31
S002,FAB_028,16.42,USD,2026-01-01,2026-12-31
S004,FAB_028,15.82,USD,2026-01-01,2026-12-31
S006,FAB_028,17.13,USD,2026-01-01,2026-12-31
S008,FAB_028,16.84,USD,2026-01-01,2026-12-31
S001,FAB_029,22.41,USD,2026-01-01,2026-12-31
S002,FAB_029,22.55,USD,2026-01-01,2026-12-31
S004,FAB_029,21.4,USD,2026-01-01,2026-12-31
S003,FAB_029,22.74,USD,2026-01-01,2026-12-31
S006,FAB_029,22.62,USD,2026-01-01,2026-12-31
S001,FAB_030,7.55,USD,2026-01-01,2026-12-31
S002,FAB_030,7.8,USD,2026-01-01,2026-12-31
S004,FAB_030,7.3,USD,2026-01-01,2026-12-31
S006,FAB_030,7.51,USD,2026-01-01,2026-12-31
S008,FAB_030,7.56,USD,2026-01-01,2026-12-31
