supplier_id,fabric_id,minimum_allocation_pct,maximum_allocation_pct,minimum_order_qty_meters,contract_expiry_date,committed_volume_meters
S001,FAB_008,0.15,0.6,2500,2026-12-31,50000
S002,FAB_008,0.15,0.6,3000,2026-12-31,50000
S004,FAB_008,0.1,0.8,5000,2026-12-31,50000
S006,FAB_008,0.1,0.4,3000,2026-12-31,50000
S008,FAB_008,0.1,0.4,2500,2026-12-31,50000
S001,FAB_009,0.15,0.6,2500,2026-12-31,50000
S002,FAB_009,0.15,0.6,4000,2026-12-31,50000
S004,FAB_009,0.1,0.8,5000,2026-12-31,50000
S006,FAB_009,0.1,0.4,4000,2026-12-31,50000
S008,FAB_009,0.1,0.4,3000,2026-12-31,50000
S001,FAB_010,0.15,0.6,3000,2026-12-31,50000
S002,FAB_010,0.15,0.6,4000,2026-12-31,50000
S004,FAB_010,0.1,0.8,2500,2026-12-31,50000
S007,FAB_010,0.1,0.4,3000,2026-12-31,50000
S008,FAB_010,0.1,0.4,4000,2026-12-31,50000
S001,FAB_011,0.15,0.6,3000,2026-12-31,50000
S002,FAB_011,0.15,0.6,3000,2026-12-31,50000
S004,FAB_011,0.1,0.8,4000,2026-12-31,50000
S007,FAB_011,0.1,0.4,4000,2026-12-31,50000
S008,FAB_011,0.1,0.4,3000,2026-12-31,50000
S001,FAB_012,0.15,0.6,3000,2026-12-31,50000
S002,FAB_012,0.15,0.6,3000,2026-12-31,50000
S004,FAB_012,0.1,0.8,2500,2026-12-31,50000
S006,FAB_012,0.1,0.4,3000,2026-12-31,50000
S005,FAB_012,0.1,0.4,5000,2026-12-31,50000
S001,FAB_013,0.15,0.6,2500,2026-12-31,50000
S002,FAB_013,0.15,0.6,2500,2026-12-31,50000
S004,FAB_013,0.1,0.8,3000,2026-12-31,50000
S007,FAB_013,0.1,0.4,5000,2026-12-31,50000
S008,FAB_013,0.1,0.4,3000,2026-12-31,50000
S001,FAB_014,0.15,0.6,5000,2026-12-31,50000
S002,FAB_014,0.15,0.6,5000,2026-12-31,50000
S004,FAB_014,0.1,0.8,5000,2026-12-31,50000
S003,FAB_014,0.1,0.4,5000,2026-12-31,50000
S007,FAB_014,0.1,0.4,5000,2026-12-31,50000
S001,FAB_015,0.15,0.6,5000,2026-12-31,50000
S002,FAB_015,0.15,0.6,5000,2026-12-31,50000
S004,FAB_015,0.1,0.8,3000,2026-12-31,50000
S007,FAB_015,0.1,0.4,4000,2026-12-31,50000
S008,FAB_015,0.1,0.4,5000,2026-12-31,50000
S001,FAB_016,0.15,0.6,4000,2026-12-31,50000
S002,FAB_016,0.15,0.6,4000,2026-12-31,50000
S004,FAB_016,0.1,0.8,2500,2026-12-31,50000
S005,FAB_016,0.1,0.4,3000,2026-12-31,50000
S006,FAB_016,0.1,0.4,3000,2026-12-31,50000
S001,FAB_017,0.15,0.6,4000,2026-12-31,50000
S002,FAB_017,0.15,0.6,5000,2026-12-31,50000
S004,FAB_017,0.1,0.8,5000,2026-12-31,50000
S005,FAB_017,0.1,0.4,2500,2026-12-31,50000
S003,FAB_017,0.1,0.4,5000,2026-12-31,50000
S001,FAB_018,0.15,0.6,4000,2026-12-31,50000
S002,FAB_018,0.15,0.6,5000,2026-12-31,50000
S004,FAB_018,0.1,0.8,3000,2026-12-31,50000
S007,FAB_018,0.1,0.4,4000,2026-12-31,50000
S003,FAB_018,0.1,0.4,2500,2026-12-31,50000
S001,FAB_019,0.15,0.6,5000,2026-12-31,50000
S002,FAB_019,0.15,0.6,5000,2026-12-31,50000
S004,FAB_019,0.1,0.8,2500,2026-12-31,50000
S007,FAB_019,0.1,0.4,2500,2026-12-31,50000
S006,FAB_019,0.1,0.4,5000,2026-12-31,50000
S001,FAB_020,0.15,0.6,4000,2026-12-31,50000
S002,FAB_020,0.15,0.6,3000,2026-12-31,50000
S004,FAB_020,0.1,0.8,4000,2026-12-31,50000
S005,FAB_020,0.1,0.4,5000,2026-12-31,50000
S007,FAB_020,0.1,0.4,5000,2026-12-31,50000
S001,FAB_021,0.15,0.6,2500,2026-12-31,50000
S002,FAB_021,0.15,0.6,4000,2026-12-31,50000
S004,FAB_021,0.1,0.8,2500,2026-12-31,50000
S006,FAB_021,0.1,0.4,2500,2026-12-31,50000
S003,FAB_021,0.1,0.4,3000,2026-12-31,50000
S001,FAB_022,0.15,0.6,3000,2026-12-31,50000
S002,FAB_022,0.15,0.6,2500,2026-12-31,50000
S004,FAB_022,0.1,0.8,3000,2026-12-31,50000
S005,FAB_022,0.1,0.4,4000,2026-12-31,50000
S003,FAB_022,0.1,0.4,3000,2026-12-31,50000
S001,FAB_023,0.15,0.6,3000,2026-12-31,50000
S002,FAB_023,0.15,0.6,2500,2026-12-31,50000
S004,FAB_023,0.1,0.8,4000,2026-12-31,50000
S008,FAB_023,0.1,0.4,5000,2026-12-31,50000
S003,FAB_023,0.1,0.4,3000,2026-12-31,50000
S001,FAB_024,0.15,0.6,4000,2026-12-31,50000
S002,FAB_024,0.15,0.6,2500,2026-12-31,50000
S004,FAB_024,0.1,0.8,2500,2026-12-31,50000
S003,FAB_024,0.1,0.4,5000,2026-12-31,50000
S005,FAB_024,0.1,0.4,2500,2026-12-31,50000
S001,FAB_025,0.15,0.6,5000,2026-12-31,50000
S002,FAB_025,0.15,0.6,2500,2026-12-31,50000
S004,FAB_025,0.1,0.8,4000,2026-12-31,50000
S008,FAB_025,0.1,0.4,5000,2026-12-31,50000
S006,FAB_025,0.1,0.4,5000,2026-12-31,50000
S001,FAB_026,0.15,0.6,5000,2026-12-31,50000
S002,FAB_026,0.15,0.6,4000,2026-12-31,50000
S004,FAB_026,0.1,0.8,3000,2026-12-31,50000
S005,FAB_026,0.1,0.4,2500,2026-12-31,50000
S006,FAB_026,0.1,0.4,5000,2026-12-31,50000
S001,FAB_027,0.15,0.6,5000,2026-12-31,50000
S002,FAB_027,0.15,0.6,5000,2026-12-31,50000
S004,FAB_027,0.1,0.8,3000,2026-12-31,50000
S005,FAB_027,0.1,0.4,4000,2026-12-31,50000
S007,FAB_027,0.1,0.4,4000,2026-12-31,50000
S001,FAB_028,0.15,0.6,3000,2026-12-31,50000
S002,FAB_028,0.15,0.6,5000,2026-12-31,50000
S004,FAB_028,0.1,0.8,3000,2026-12-31,50000
S006,FAB_028,0.1,0.4,5000,2026-12-31,50000
S008,FAB_028,0.1,0.4,2500,2026-12-31,50000
S001,FAB_029,0.15,0.6,3000,2026-12-31,50000
S002,FAB_029,0.15,0.6,4000,2026-12-31,50000
S004,FAB_029,0.1,0.8,4000,2026-12-31,50000
S003,FAB_029,0.1,0.4,4000,2026-12-31,50000
S006,FAB_029,0.1,0.4,5000,2026-12-31,50000
S001,FAB_030,0.15,0.6,2500,2026-12-31,50000
S002,FAB_030,0.15,0.6,4000,2026-12-31,50000
S004,FAB_030,0.1,0.8,3000,2026-12-31,50000
S006,FAB_030,0.1,0.4,5000,2026-12-31,50000
S008,FAB_030,0.1,0.4,4000,2026-12-31,50000
