supplier_id,fabric_id,period,max_supply_meters,committed_supply_meters,available_supply_meters
S007,FAB_005,W02,12803,7978,4825
S003,FAB_005,W02,24208,12080,12128
S001,FAB_006,W02,16689,9725,6964
S002,FAB_006,W02,15770,8391,7379
S004,FAB_006,W02,17772,7387,10385
S007,FAB_006,W02,15115,8105,7010
S005,FAB_006,W02,23104,13323,9781
S001,FAB_007,W02,24574,13460,11114
S002,FAB_007,W02,14240,7667,6573
S004,FAB_007,W02,22280,12118,10162
S006,FAB_007,W02,17061,10007,7054
S007,FAB_007,W02,12546,6572,5974
S001,FAB_008,W02,23998,9345,14653
S002,FAB_008,W02,16835,7542,9293
S004,FAB_008,W02,18807,7573,11234
S006,FAB_008,W02,14165,8300,5865
S008,FAB_008,W02,17994,9163,8831
S001,FAB_009,W02,16465,9864,6601
S002,FAB_009,W02,16210,10118,6092
S004,FAB_009,W02,19894,12736,7158
S006,FAB_009,W02,16835,9662,7173
S008,FAB_009,W02,17549,10376,7173
S001,FAB_010,W02,19673,12568,7105
S002,FAB_010,W02,14306,8243,6063
S004,FAB_010,W02,15696,9543,6153
S007,FAB_010,W02,23865,13181,10684
S008,FAB_010,W02,18511,11850,6661
S001,FAB_011,W02,21131,9714,11417
S002,FAB_011,W02,24954,11687,13267
S004,FAB_011,W02,16332,8345,7987
S007,FAB_011,W02,19451,8958,10493
S008,FAB_011,W02,24271,13390,10881
S001,FAB_012,W02,21577,10018,11559
S002,FAB_012,W02,22461,14197,8264
S004,FAB_012,W02,13775,7610,6165
S006,FAB_012,W02,19724,7051,12673
S005,FAB_012,W02,21198,9505,11693
S001,FAB_013,W02,21995,9158,12837
S002,FAB_013,W02,13035,7046,5989
S004,FAB_013,W02,19606,12210,7396
S007,FAB_013,W02,16951,9234,7717
S008,FAB_013,W02,13911,5452,8459
S001,FAB_014,W02,12609,5564,7045
S002,FAB_014,W02,20071,7724,12347
S004,FAB_014,W02,15846,9763,6083
S003,FAB_014,W02,14222,6635,7587
S007,FAB_014,W02,18078,9963,8115
S001,FAB_015,W02,24175,13512,10663
S002,FAB_015,W02,20850,9919,10931
S004,FAB_015,W02,24161,13722,10439
S007,FAB_015,W02,18797,10272,8525
S008,FAB_015,W02,20017,10703,9314
S001,FAB_016,W02,16583,5966,10617
S002,FAB_016,W02,18070,7502,10568
S004,FAB_016,W02,19285,12249,7036
S005,FAB_016,W02,17942,6814,11128
S006,FAB_016,W02,23234,10692,12542
S001,FAB_017,W02,22564,10325,12239
S002,FAB_017,W02,18523,8016,10507
S004,FAB_017,W02,14001,8886,5115
S005,FAB_017,W02,19450,7342,12108
S003,FAB_017,W02,15475,8395,7080
S001,FAB_018,W02,21783,13970,7813
S002,FAB_018,W02,12828,7517,5311
S004,FAB_018,W02,15990,10339,5651
S007,FAB_018,W02,24893,12928,11965
S003,FAB_018,W02,13124,7860,5264
S001,FAB_019,W02,21080,8688,12392
S002,FAB_019,W02,15538,9228,6310
S004,FAB_019,W02,15817,7094,8723
S007,FAB_019,W02,14417,8456,5961
S006,FAB_019,W02,21764,7635,14129
S001,FAB_020,W02,14370,9286,5084
S002,FAB_020,W02,20850,8865,11985
S004,FAB_020,W02,14858,5690,9168
S005,FAB_020,W02,12422,4838,7584
S007,FAB_020,W02,17869,10489,7380
S001,FAB_021,W02,15898,8372,7526
S002,FAB_021,W02,12258,4931,7327
S004,FAB_021,W02,12858,4989,7869
S006,FAB_021,W02,18897,9596,9301
S003,FAB_021,W02,24216,8937,15279
S001,FAB_022,W02,19344,11285,8059
S002,FAB_022,W02,20408,10777,9631
S004,FAB_022,W02,19405,9724,9681
S005,FAB_022,W02,22077,8014,14063
S003,FAB_022,W02,24832,15461,9371
S001,FAB_023,W02,22795,11544,11251
S002,FAB_023,W02,19504,10590,8914
S004,FAB_023,W02,12510,4606,7904
S008,FAB_023,W02,19847,11991,7856
S003,FAB_023,W02,18984,10551,8433
S001,FAB_024,W02,20032,11292,8740
S002,FAB_024,W02,19267,7168,12099
S004,FAB_024,W02,13323,5950,7373
S003,FAB_024,W02,14430,5334,9096
S005,FAB_024,W02,16505,8868,7637
S001,FAB_025,W02,21590,11108,10482
S002,FAB_025,W02,17327,8044,9283
S004,FAB_025,W02,21787,11093,10694
S008,FAB_025,W02,19433,9748,9685
S006,FAB_025,W02,19048,7233,11815
S001,FAB_026,W02,23497,9030,14467
S002,FAB_026,W02,22726,12391,10335
S004,FAB_026,W02,24598,12677,11921
S005,FAB_026,W02,15522,7435,8087
S006,FAB_026,W02,15743,7464,8279
S001,FAB_027,W02,19430,9124,10306
S002,FAB_027,W02,23953,9066,14887
S004,FAB_027,W02,18992,8427,10565
S005,FAB_027,W02,16176,7478,8698
S007,FAB_027,W02,14500,8062,6438
S001,FAB_028,W02,19770,7317,12453
S002,FAB_028,W02,13398,5064,8334
S004,FAB_028,W02,13582,7787,5795
S006,FAB_028,W02,18105,10745,7360
S008,FAB_028,W02,21115,7770,13345
S001,FAB_029,W02,21201,10992,10209
S002,FAB_029,W02,22977,8884,14093
S004,FAB_029,W02,17793,10890,6903
S003,FAB_029,W02,24292,11584,12708
S006,FAB_029,W02,23813,8702,15111
S001,FAB_030,W02,16712,8859,7853
S002,FAB_030,W02,17761,6768,10993
S004,FAB_030,W02,20313,8405,11908
S006,FAB_030,W02,22759,11257,11502
S008,FAB_030,W02,13773,6267,7506
S001,FAB_001,W03,21113,9717,11396
S002,FAB_001,W03,24494,10619,13875
S004,FAB_001,W03,15705,9299,6406
S005,FAB_001,W03,21190,13611,7579
S006,FAB_001,W03,22186,11848,10338
S001,FAB_002,W03,22529,11647,10882
S002,FAB_002,W03,21977,13817,8160
S004,FAB_002,W03,23361,10050,13311
S003,FAB_002,W03,14955,6460,8495
S007,FAB_002,W03,24491,10842,13649
S001,FAB_003,W03,17567,7998,9569
S002,FAB_003,W03,14972,9147,5825
S004,FAB_003,W03,21278,11643,9635
S008,FAB_003,W03,13140,5158,7982
S003,FAB_003,W03,22373,14353,8020
S001,FAB_004,W03,13503,7748,5755
S002,FAB_004,W03,15524,7185,8339
S004,FAB_004,W03,19432,8788,10644
S006,FAB_004,W03,18062,8010,10052
S005,FAB_004,W03,17314,10094,7220
S001,FAB_005,W03,21299,11264,10035
S002,FAB_005,W03,12861,5101,7760
S004,FAB_005,W03,24360,13041,11319
S007,FAB_005,W03,23042,8628,14414
S003,FAB_005,W03,19259,10565,8694
S001,FAB_006,W03,19957,10619,9338
S002,FAB_006,W03,18785,8114,10671
S004,FAB_006,W03,24368,12274,12094
S007,FAB_006,W03,17655,8456,9199
S005,FAB_006,W03,16640,9209,7431
S001,FAB_007,W03,21717,10771,10946
S002,FAB_007,W03,22930,10147,12783
S004,FAB_007,W03,15612,7315,8297
S006,FAB_007,W03,21819,7995,13824
S007,FAB_007,W03,15349,6760,8589
S001,FAB_008,W03,15460,8969,6491
S002,FAB_008,W03,24520,10461,14059
S004,FAB_008,W03,17375,6706,10669
S006,FAB_008,W03,20149,11567,8582
S008,FAB_008,W03,14878,5783,9095
S001,FAB_009,W03,20725,11628,9097
S002,FAB_009,W03,20196,10453,9743
S004,FAB_009,W03,22945,13580,9365
S006,FAB_009,W03,13180,6183,6997
S008,FAB_009,W03,24157,8761,15396
S001,FAB_010,W03,12307,6004,6303
S002,FAB_010,W03,13275,8079,5196
S004,FAB_010,W03,21433,10261,11172
S007,FAB_010,W03,18626,10483,8143
S008,FAB_010,W03,18843,8231,10612
S001,FAB_011,W03,18636,6639,11997
S002,FAB_011,W03,17321,6955,10366
S004,FAB_011,W03,22127,10798,11329
S007,FAB_011,W03,23298,14582,8716
S008,FAB_011,W03,13443,6466,6977
S001,FAB_012,W03,13734,5809,7925
S002,FAB_012,W03,21648,10177,11471
S004,FAB_012,W03,13288,6228,7060
S006,FAB_012,W03,17083,9801,7282
S005,FAB_012,W03,15630,7032,8598
S001,FAB_013,W03,14754,5501,9253
S002,FAB_013,W03,22374,8596,13778
S004,FAB_013,W03,20355,8308,12047
S007,FAB_013,W03,24717,11241,13476
S008,FAB_013,W03,23917,15246,8671
S001,FAB_014,W03,22574,13420,9154
S002,FAB_014,W03,15871,6044,9827
S004,FAB_014,W03,16193,6625,9568
S003,FAB_014,W03,21869,8657,13212
S007,FAB_014,W03,24437,13358,11079
S001,FAB_015,W03,14902,9468,5434
S002,FAB_015,W03,22288,11104,11184
S004,FAB_015,W03,24360,12645,11715
S007,FAB_015,W03,21494,10417,11077
S008,FAB_015,W03,21248,11535,9713
S001,FAB_016,W03,22232,9936,12296
S002,FAB_016,W03,22276,9909,12367
S004,FAB_016,W03,19205,7115,12090
S005,FAB_016,W03,19245,10381,8864
S006,FAB_016,W03,16500,8702,7798
S001,FAB_017,W03,17766,8922,8844
S002,FAB_017,W03,17085,8346,8739
S004,FAB_017,W03,12616,4630,7986
S005,FAB_017,W03,16703,6230,10473
S003,FAB_017,W03,13479,7204,6275
S001,FAB_018,W03,20307,9449,10858
S002,FAB_018,W03,21508,11104,10404
S004,FAB_018,W03,24973,14276,10697
S007,FAB_018,W03,12672,6144,6528
S003,FAB_018,W03,21366,11656,9710
S001,FAB_019,W03,17267,9177,8090
S002,FAB_019,W03,20214,7989,12225
S004,FAB_019,W03,13013,6313,6700
S007,FAB_019,W03,17626,11363,6263
S006,FAB_019,W03,13381,6708,6673
S001,FAB_020,W03,14827,5363,9464
S002,FAB_020,W03,23593,11355,12238
S004,FAB_020,W03,19199,9738,9461
S005,FAB_020,W03,21991,8744,13247
S007,FAB_020,W03,18108,11324,6784
S001,FAB_021,W03,18347,8671,9676
S002,FAB_021,W03,17543,9713,7830
S004,FAB_021,W03,12857,7544,5313
S006,FAB_021,W03,22605,10181,12424
S003,FAB_021,W03,17401,6583,10818
S001,FAB_022,W03,23114,10770,12344
S002,FAB_022,W03,16128,9146,6982
S004,FAB_022,W03,22757,14549,8208
S005,FAB_022,W03,21874,13386,8488
S003,FAB_022,W03,17461,6538,10923
S001,FAB_023,W03,22872,8975,13897
S002,FAB_023,W03,17731,7856,9875
S004,FAB_023,W03,22748,12728,10020
S008,FAB_023,W03,18421,7159,11262
S003,FAB_023,W03,23613,14909,8704
S001,FAB_024,W03,17072,8837,8235
S002,FAB_024,W03,22542,13243,9299
S004,FAB_024,W03,14093,7765,6328
S003,FAB_024,W03,24104,15647,8457
S005,FAB_024,W03,20624,7796,12828
S001,FAB_025,W03,22984,10963,12021
S002,FAB_025,W03,17928,6372,11556
S004,FAB_025,W03,17060,6893,10167
S008,FAB_025,W03,15509,7018,8491
S006,FAB_025,W03,24552,12174,12378
S001,FAB_026,W03,15711,10212,5499
S002,FAB_026,W03,14538,5424,9114
S004,FAB_026,W03,24912,9475,15437
S005,FAB_026,W03,24630,12608,12022
S006,FAB_026,W03,24101,14824,9277
S001,FAB_027,W03,12618,6921,5697
S002,FAB_027,W03,24555,13146,11409
S004,FAB_027,W03,21785,10086,11699
S005,FAB_027,W03,14658,5925,8733
S007,FAB_027,W03,23351,13574,9777
S001,FAB_028,W03,14712,8332,6380
S002,FAB_028,W03,12715,6017,6698
S004,FAB_028,W03,23081,13060,10021
S006,FAB_028,W03,19277,10278,8999
S008,FAB_028,W03,24327,13977,10350
S001,FAB_029,W03,19355,8132,11223
S002,FAB_029,W03,15918,7049,8869
S004,FAB_029,W03,24851,12194,12657
S003,FAB_029,W03,15178,6987,8191
S006,FAB_029,W03,21345,13774,7571
S001,FAB_030,W03,19564,11363,8201
S002,FAB_030,W03,24748,11496,13252
S004,FAB_030,W03,20641,9816,10825
S006,FAB_030,W03,14655,8720,5935
S008,FAB_030,W03,21906,8576,13330
S001,FAB_001,W04,16096,5885,10211
S002,FAB_001,W04,19873,12166,7707
S004,FAB_001,W04,21085,13289,7796
S005,FAB_001,W04,23655,14282,9373
S006,FAB_001,W04,14042,6115,7927
S001,FAB_002,W04,24502,9754,14748
S002,FAB_002,W04,19361,12034,7327
S004,FAB_002,W04,14414,8638,5776
S003,FAB_002,W04,13502,8559,4943
S007,FAB_002,W04,15637,9304,6333
S001,FAB_003,W04,17727,11152,6575
S002,FAB_003,W04,18797,6879,11918
S004,FAB_003,W04,20224,9347,10877
S008,FAB_003,W04,18326,11881,6445
S003,FAB_003,W04,18142,7571,10571
S001,FAB_004,W04,17221,10836,6385
S002,FAB_004,W04,23709,12921,10788
S004,FAB_004,W04,24965,9831,15134
S006,FAB_004,W04,12627,5506,7121
S005,FAB_004,W04,19740,11031,8709
S001,FAB_005,W04,14273,8244,6029
S002,FAB_005,W04,19685,9538,10147
S004,FAB_005,W04,12086,7514,4572
S007,FAB_005,W04,12311,5254,7057
S003,FAB_005,W04,14449,7436,7013
S001,FAB_006,W04,23915,12738,11177
S002,FAB_006,W04,18934,7258,11676
S004,FAB_006,W04,16720,7044,9676
S007,FAB_006,W04,13996,5099,8897
S005,FAB_006,W04,18878,10225,8653
S001,FAB_007,W04,22204,10816,11388
S002,FAB_007,W04,13816,8303,5513
S004,FAB_007,W04,20189,10680,9509
S006,FAB_007,W04,12269,6620,5649
S007,FAB_007,W04,21421,9052,12369
S001,FAB_008,W04,14352,6277,8075
S002,FAB_008,W04,12025,6426,5599
S004,FAB_008,W04,15941,8308,7633
S006,FAB_008,W04,15068,8277,6791
S008,FAB_008,W04,13402,6795,6607
S001,FAB_009,W04,17908,6631,11277
S002,FAB_009,W04,20618,10581,10037
S004,FAB_009,W04,24884,16087,8797
S006,FAB_009,W04,21079,7506,13573
S008,FAB_009,W04,19702,7153,12549
S001,FAB_010,W04,18338,11815,6523
S002,FAB_010,W04,16155,9276,6879
S004,FAB_010,W04,17850,10470,7380
S007,FAB_010,W04,17649,7453,10196
S008,FAB_010,W04,22765,12258,10507
S001,FAB_011,W04,24640,12925,11715
S002,FAB_011,W04,24397,10972,13425
S004,FAB_011,W04,12726,5799,6927
S007,FAB_011,W04,17546,10423,7123
S008,FAB_011,W04,14868,8907,5961
S001,FAB_012,W04,23217,11362,11855
S002,FAB_012,W04,23393,11545,11848
S004,FAB_012,W04,14986,8893,6093
S006,FAB_012,W04,13033,7361,5672
S005,FAB_012,W04,19498,7040,12458
S001,FAB_013,W04,15302,5556,9746
S002,FAB_013,W04,15268,9401,5867
S004,FAB_013,W04,17170,10817,6353
S007,FAB_013,W04,20444,9597,10847
S008,FAB_013,W04,20897,10281,10616
S001,FAB_014,W04,12599,7256,5343
S002,FAB_014,W04,15131,6594,8537
S004,FAB_014,W04,24793,9033,15760
S003,FAB_014,W04,22743,10224,12519
S007,FAB_014,W04,14039,8280,5759
S001,FAB_015,W04,19159,11818,7341
S002,FAB_015,W04,24178,11651,12527
S004,FAB_015,W04,18334,8281,10053
S007,FAB_015,W04,15060,7512,7548
S008,FAB_015,W04,20151,9273,10878
S001,FAB_016,W04,20507,8818,11689
S002,FAB_016,W04,13353,7586,5767
S004,FAB_016,W04,13293,6369,6924
S005,FAB_016,W04,14956,7682,7274
S006,FAB_016,W04,17262,6573,10689
S001,FAB_017,W04,17372,9524,7848
S002,FAB_017,W04,17021,8234,8787
S004,FAB_017,W04,23758,11352,12406
S005,FAB_017,W04,23301,11258,12043
S003,FAB_017,W04,19325,7009,12316
S001,FAB_018,W04,17776,9500,8276
S002,FAB_018,W04,19126,8269,10857
S004,FAB_018,W04,24967,15838,9129
S007,FAB_018,W04,13229,7293,5936
S003,FAB_018,W04,18655,8562,10093
S001,FAB_019,W04,24286,13450,10836
S002,FAB_019,W04,12510,4914,7596
S004,FAB_019,W04,21954,12149,9805
S007,FAB_019,W04,19179,6912,12267
S006,FAB_019,W04,13101,5512,7589
S001,FAB_020,W04,22570,10379,12191
S002,FAB_020,W04,18272,11599,6673
S004,FAB_020,W04,12530,6660,5870
S005,FAB_020,W04,23125,11215,11910
S007,FAB_020,W04,18077,8344,9733
S001,FAB_021,W04,24502,9140,15362
S002,FAB_021,W04,14255,7253,7002
S004,FAB_021,W04,18521,8229,10292
S006,FAB_021,W04,16566,7038,9528
S003,FAB_021,W04,13858,4958,8900
S001,FAB_022,W04,15048,7519,7529
S002,FAB_022,W04,18340,11445,6895
S004,FAB_022,W04,13929,5969,7960
S005,FAB_022,W04,16264,9127,7137
S003,FAB_022,W04,15515,10067,5448
S001,FAB_023,W04,16678,9309,7369
S002,FAB_023,W04,20047,8220,11827
S004,FAB_023,W04,14223,8616,5607
S008,FAB_023,W04,19406,7797,11609
S003,FAB_023,W04,23687,11453,12234
S001,FAB_024,W04,13438,7970,5468
S002,FAB_024,W04,17236,9485,7751
S004,FAB_024,W04,23625,8729,14896
S003,FAB_024,W04,20882,9127,11755
S005,FAB_024,W04,16914,10239,6675
S001,FAB_025,W04,23662,13318,10344
S002,FAB_025,W04,23472,12705,10767
S004,FAB_025,W04,17922,9008,8914
S008,FAB_025,W04,13988,9029,4959
S006,FAB_025,W04,24977,9782,15195
S001,FAB_026,W04,24949,12429,12520
S002,FAB_026,W04,17912,9246,8666
S004,FAB_026,W04,18044,8845,9199
S005,FAB_026,W04,21038,8182,12856
S006,FAB_026,W04,13412,4958,8454
S001,FAB_027,W04,18523,12037,6486
S002,FAB_027,W04,23777,11736,12041
S004,FAB_027,W04,18730,10877,7853
S005,FAB_027,W04,21419,7970,13449
S007,FAB_027,W04,17194,9331,7863
S001,FAB_028,W04,19372,9487,9885
S002,FAB_028,W04,20476,9282,11194
S004,FAB_028,W04,24783,12772,12011
S006,FAB_028,W04,21630,8751,12879
S008,FAB_028,W04,14114,6771,7343
S001,FAB_029,W04,12907,7736,5171
S002,FAB_029,W04,20488,8111,12377
S004,FAB_029,W04,14697,5858,8839
S003,FAB_029,W04,23621,9865,13756
S006,FAB_029,W04,20501,12679,7822
S001,FAB_030,W04,13292,5651,7641
S002,FAB_030,W04,22404,14269,8135
S004,FAB_030,W04,16496,6393,10103
S006,FAB_030,W04,16961,9062,7899
S008,FAB_030,W04,13530,6775,6755
S001,FAB_001,W05,14762,7787,6975
S002,FAB_001,W05,21513,8524,12989
S004,FAB_001,W05,22792,12247,10545
S005,FAB_001,W05,21914,9889,12025
S006,FAB_001,W05,21234,7694,13540
S001,FAB_002,W05,12464,4666,7798
S002,FAB_002,W05,22509,13084,9425
S004,FAB_002,W05,16336,8908,7428
S003,FAB_002,W05,24565,12814,11751
S007,FAB_002,W05,22127,11986,10141
S001,FAB_003,W05,20159,12432,7727
S002,FAB_003,W05,20938,9147,11791
S004,FAB_003,W05,16949,8387,8562
S008,FAB_003,W05,23222,10956,12266
S003,FAB_003,W05,19430,7225,12205
S001,FAB_004,W05,12981,5158,7823
S002,FAB_004,W05,18809,9315,9494
S004,FAB_004,W05,15342,6935,8407
S006,FAB_004,W05,14353,6369,7984
S005,FAB_004,W05,23769,10596,13173
S001,FAB_005,W05,17658,11347,6311
S002,FAB_005,W05,14142,8176,5966
S004,FAB_005,W05,20437,10596,9841
S007,FAB_005,W05,17228,7279,9949
S003,FAB_005,W05,14007,6026,7981
S001,FAB_006,W05,16061,6300,9761
S002,FAB_006,W05,12829,5607,7222
S004,FAB_006,W05,18293,11144,7149
S007,FAB_006,W05,18850,8001,10849
S005,FAB_006,W05,14616,8682,5934
S001,FAB_007,W05,21464,12155,9309
S002,FAB_007,W05,15110,8747,6363
S004,FAB_007,W05,20163,13081,7082
S006,FAB_007,W05,19648,9816,9832
S007,FAB_007,W05,17055,8514,8541
S001,FAB_008,W05,13475,8537,4938
S002,FAB_008,W05,20281,9880,10401
S004,FAB_008,W05,15944,6609,9335
S006,FAB_008,W05,17781,6482,11299
S008,FAB_008,W05,16609,8279,8330
S001,FAB_009,W05,22719,12535,10184
S002,FAB_009,W05,16681,8524,8157
S004,FAB_009,W05,13761,6595,7166
S006,FAB_009,W05,16333,9281,7052
S008,FAB_009,W05,24515,11545,12970
S001,FAB_010,W05,12741,5990,6751
S002,FAB_010,W05,21343,11067,10276
S004,FAB_010,W05,17939,9255,8684
S007,FAB_010,W05,13204,6151,7053
S008,FAB_010,W05,19378,11226,8152
S001,FAB_011,W05,16582,9909,6673
S002,FAB_011,W05,22211,12307,9904
S004,FAB_011,W05,13946,5419,8527
S007,FAB_011,W05,13584,6359,7225
S008,FAB_011,W05,17555,9082,8473
S001,FAB_012,W05,17990,10371,7619
S002,FAB_012,W05,15261,8099,7162
S004,FAB_012,W05,18576,9288,9288
S006,FAB_012,W05,12742,4608,8134
S005,FAB_012,W05,23691,10658,13033
S001,FAB_013,W05,19761,9995,9766
S002,FAB_013,W05,14440,7680,6760
